metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1767458624.2799,elite,120.68348845195,1742408136.6812,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767083554,1767602766.2286,80,http,216.205.52.144:80,False,195.72567939758,111551,3415,97.02955656455,216.205.52.144
True,1766779542.3804,elite,144.94582814041,1764743906.6179,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",False,California,success,America/Los_Angeles,95113,1767163668,1767602766.1026,80,http,170.114.45.183:80,False,40.849447250366,18613,7,99.962406015038,170.114.45.183
True,1767299120.5145,elite,119.00906392866,1742805911.3712,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767082965,1767602765.9774,80,http,45.67.215.17:80,False,60.802221298218,112214,985,99.129850970415,45.67.215.17
True,1767062081.0014,elite,142.84364740094,1761066320.7876,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1767115068,1767602765.947,80,http,8.35.211.128:80,False,42.063236236572,45506,96,99.789482917416,8.35.211.128
True,1767062076.1334,elite,140.84645720265,1761066348.5925,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1767115048,1767602765.8989,80,http,102.177.176.245:80,False,45.218706130981,42991,605,98.612258005322,102.177.176.245
True,1766190101.397,elite,119.75650699277,1742394739.7742,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767083370,1767602765.825,80,http,216.205.52.210:80,False,16.180515289307,111854,3500,96.965861608613,216.205.52.210
True,1767298995.2768,elite,145.83673236893,1764740611.6121,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,False,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767160160,1767602765.8142,80,http,45.67.215.114:80,False,92.628717422485,18833,7,99.962845010616,45.67.215.114
True,1767389519.35,elite,125.45997324735,1754411856.5409,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1767115482,1767602765.7413,80,http,102.177.176.222:80,False,104.09331321716,85706,1286,98.521703145117,102.177.176.222
True,1766258403.3807,elite,131.50667428961,1756297626.9017,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",True,California,success,America/Los_Angeles,95113,1767186751,1767602765.6507,80,http,170.114.45.37:80,False,74.54252243042,75101,191,99.746320990278,170.114.45.37
True,1767584724.6188,elite,146.92625692544,1765208732.1826,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767023537,1767602765.5923,80,http,141.101.113.36:80,False,456.80332183838,15801,5,99.968366443123,141.101.113.36
