alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1761068139.3431,elite,139.10548598444,1761068139.3431,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762278068,1762843373.7852,80,http,108.162.193.240:80,false,145.01786231995,12820,0,100,108.162.193.240
true,1761067461.9674,elite,139.29810353264,1761067461.9674,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762277123,1762843373.7799,80,http,141.101.114.238:80,false,524.49679374695,12458,0,100,141.101.114.238
true,1759218245.6586,elite,109.85784986215,1742451036.5162,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762243927,1762843373.6777,80,http,216.205.52.123:80,false,441.19501113892,79821,3368,95.951387803676,216.205.52.123
true,1758182638.3046,elite,110.68060106778,1742404923.4301,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762244327,1762843373.6696,80,http,170.114.45.101:80,false,251.27005577087,79634,3754,95.498153211493,170.114.45.101
true,1759208291.4016,elite,110.83186648754,1742540703.7735,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Cloudflare London, LLC",1.35208,103.82,false,"Tang Dynastic Technology Pte. LTD",true,"North West",success,Asia/Singapore,858877,1762243947,1762843373.5725,80,http,45.8.211.162:80,false,299.44062232971,80144,709,99.123099946817,45.8.211.162
true,1758182985.1814,elite,110.45154257484,1742780533.4792,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762243802,1762843373.5597,80,http,69.84.182.179:80,false,336.19904518127,82579,3292,96.166342537061,69.84.182.179
true,1759218130.9268,elite,122.11773824176,1756297598.9972,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762346768,1762843373.358,80,http,69.84.182.192:80,false,15.854120254517,45175,95,99.790148000884,69.84.182.192
true,1761914257.3725,elite,133.71272356319,1758995558.2934,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762625039,1762843373.3264,80,http,108.162.194.105:80,false,165.04406929016,28871,3,99.989610029785,108.162.194.105
true,1761065965.8879,elite,140.12130088536,1761065965.8879,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762276257,1762843373.2819,80,http,8.35.211.121:80,false,39.076328277588,12852,0,100,8.35.211.121
true,1758184638.5821,elite,111.07693260099,1742528108.9275,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Cloudflare London, LLC",1.35208,103.82,false,"Tang Dynastic Technology Pte. LTD",true,"North West",success,Asia/Singapore,858877,1762244569,1762843373.2618,80,http,45.8.211.137:80,false,207.06701278687,80370,3127,96.254955267854,45.8.211.137
true,1758995721.8821,elite,135.69672677546,1758995721.8821,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762624949,1762843373.2462,80,http,108.162.193.242:80,false,63.995361328125,28874,0,100,108.162.193.242
true,1759208527.5215,elite,120.87499301127,1756236731.2892,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762285725,1762843373.1612,80,http,69.84.182.100:80,false,29.200553894043,45630,94,99.794418686029,69.84.182.100
true,1761707989.5173,elite,110.22389452872,1742335321.441,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",true,Hesse,success,Europe/Berlin,60313,1762244161,1762843373.0852,80,http,102.177.176.84:80,false,67.639350891113,78052,3965,95.165636392455,102.177.176.84
true,1761555742.1014,elite,141.14773708538,1761068191.5315,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762278511,1762843373.0068,80,http,141.101.114.241:80,false,56.634664535522,12467,1,99.991979467437,141.101.114.241
true,1758183157.4811,elite,111.02389634919,1742334274.3506,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",true,Hesse,success,Europe/Berlin,60313,1762243938,1762843372.9629,80,http,102.177.176.236:80,false,57.376623153687,77938,1555,98.043852917867,102.177.176.236
true,1761555817.1831,elite,110.76466247356,1750610298.9117,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762244142,1762843372.9607,80,http,216.205.52.2:80,false,28.63335609436,79743,98,99.877256046392,216.205.52.2
true,1759218201.3958,elite,110.36004508139,1742355781.3674,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762243563,1762843372.9288,80,http,185.221.160.103:80,false,91.118335723877,79763,989,98.775262532197,185.221.160.103
true,1759218148.7176,elite,121.59059506438,1756299394.7153,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762348472,1762843372.9276,80,http,69.84.182.190:80,false,230.51524162292,45159,96,99.787868743785,69.84.182.190
true,1762129171.2031,elite,138.50263079271,1761065641.1839,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1762275578,1762843372.918,80,http,102.177.176.164:80,false,431.20455741882,12347,1,99.991901522514,102.177.176.164
